date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:14:55	984693/984693	---M-Z	200	added ('OK')	application/javascript	etag:%22t0GuFiknutinPzwLAUJ4PQ==+gzip%22	https://abs.twimg.com/k/no/0.commons.no.255f1e951223f832d5d1.js	C:/My%20Web%20Sites/twitterstrip/abs.twimg.com/k/no/0.commons.no.255f1e951223f832d5d1.js	(from https://twitter.com/elonmusk/status/1242522143092588546?lang=no)
12:14:56	94567/94567	---M-Z	200	added ('OK')	application/javascript	etag:%22N5BFIEkAWA1qUgGSTYaiDw==%22	https://abs.twimg.com/k/no/5.pages_permalink.no.247907f07e2e94f37d65.js	C:/My%20Web%20Sites/twitterstrip/abs.twimg.com/k/no/5.pages_permalink.no.247907f07e2e94f37d65.js	(from https://twitter.com/elonmusk/status/1242522143092588546?lang=no)
12:14:57	570094/570094	---M-Z	200	added ('OK')	application/javascript	etag:%22zeUTM56vqOlJAyYUMyavtg==+gzip%22	https://abs.twimg.com/k/sv/init.sv.9cb4db6c08a32f8c1ee4.js	C:/My%20Web%20Sites/twitterstrip/abs.twimg.com/k/sv/init.sv.9cb4db6c08a32f8c1ee4.js	(from https://twitter.com/elonmusk/status/1242522143092588546?lang=sv)
12:14:57	985041/985041	---M-Z	200	added ('OK')	application/javascript	etag:%22mVozdcrW3oRFFfbZjIpV+A==%22	https://abs.twimg.com/k/sv/0.commons.sv.0a9afcbd74468f67a931.js	C:/My%20Web%20Sites/twitterstrip/abs.twimg.com/k/sv/0.commons.sv.0a9afcbd74468f67a931.js	(from https://twitter.com/elonmusk/status/1242522143092588546?lang=sv)
12:14:57	94563/94563	---M-Z	200	added ('OK')	application/javascript	etag:%22L2mZKfFcDRIzrIw4YyV1vw==%22	https://abs.twimg.com/k/sv/5.pages_permalink.sv.da8b8c42cd54c2a97407.js	C:/My%20Web%20Sites/twitterstrip/abs.twimg.com/k/sv/5.pages_permalink.sv.da8b8c42cd54c2a97407.js	(from https://twitter.com/elonmusk/status/1242522143092588546?lang=sv)
12:14:58	570338/570338	---M-Z	200	added ('OK')	application/javascript	etag:%22WS1FFVf2SLcNLYW+m6FQcA==+gzip%22	https://abs.twimg.com/k/fi/init.fi.41dfc59aa98a81aaf80e.js	C:/My%20Web%20Sites/twitterstrip/abs.twimg.com/k/fi/init.fi.41dfc59aa98a81aaf80e.js	(from https://twitter.com/elonmusk/status/1242522143092588546?lang=fi)
12:14:58	985667/985667	---M-Z	200	added ('OK')	application/javascript	etag:%22RsHX6uzTG8fYh6aQXoufzw==%22	https://abs.twimg.com/k/fi/0.commons.fi.e914df05c3407a6213f7.js	C:/My%20Web%20Sites/twitterstrip/abs.twimg.com/k/fi/0.commons.fi.e914df05c3407a6213f7.js	(from https://twitter.com/elonmusk/status/1242522143092588546?lang=fi)
12:14:59	94577/94577	---M-Z	200	added ('OK')	application/javascript	etag:%22nL9GEMSUBYkjpBlYe0KkFQ==%22	https://abs.twimg.com/k/fi/5.pages_permalink.fi.876f0fb472da939268a6.js	C:/My%20Web%20Sites/twitterstrip/abs.twimg.com/k/fi/5.pages_permalink.fi.876f0fb472da939268a6.js	(from https://twitter.com/elonmusk/status/1242522143092588546?lang=fi)
12:14:59	569596/569596	---M-Z	200	added ('OK')	application/javascript	etag:%22/6QKOtJrkDO36ui99ldoUw==+gzip%22	https://abs.twimg.com/k/da/init.da.e3dd6ab459f92fdd7657.js	C:/My%20Web%20Sites/twitterstrip/abs.twimg.com/k/da/init.da.e3dd6ab459f92fdd7657.js	(from https://twitter.com/elonmusk/status/1242522143092588546?lang=da)
12:15:00	984854/984854	---M-Z	200	added ('OK')	application/javascript	etag:%22ADC6lIv92TaqBC+Bbr+8lA==%22	https://abs.twimg.com/k/da/0.commons.da.8f6736a101f8362d9393.js	C:/My%20Web%20Sites/twitterstrip/abs.twimg.com/k/da/0.commons.da.8f6736a101f8362d9393.js	(from https://twitter.com/elonmusk/status/1242522143092588546?lang=da)
12:15:00	94565/94565	---M-Z	200	added ('OK')	application/javascript	etag:%22AP3xv1XykD/FTmvuUZIZDg==%22	https://abs.twimg.com/k/da/5.pages_permalink.da.62877995017ea9f79715.js	C:/My%20Web%20Sites/twitterstrip/abs.twimg.com/k/da/5.pages_permalink.da.62877995017ea9f79715.js	(from https://twitter.com/elonmusk/status/1242522143092588546?lang=da)
